Rk 	Player 	Team 	Pos 	Comp 	Att 	Pct 	Att/G 	Yds 	Avg 	Yds/G 	TD 	Int 	1st 	1st% 	Lng 	20+ 	40+ 	Sck 	Rate
1 	Tom Brady 	NE 	QB 	133 	195 	68.2 	39.0 	1,702 	8.7 	340.4 	11 	1 	79 	40.5 	54 	24 	6 	16 	112.0
2 	Carson Palmer 	ARI 	QB 	136 	227 	59.9 	45.4 	1,573 	6.9 	314.6 	6 	5 	74 	32.6 	46 	22 	2 	19 	80.5
3 	Alex Smith 	KC 	QB 	121 	158 	76.6 	31.6 	1,391 	8.8 	278.2 	11 	0 	72 	45.6 	78T 	14 	3 	17 	125.8
4 	Aaron Rodgers 	GB 	QB 	126 	189 	66.7 	37.8 	1,367 	7.2 	273.4 	13 	3 	71 	37.6 	72 	17 	4 	19 	104.1
5 	Philip Rivers 	LAC 	QB 	116 	194 	59.8 	38.8 	1,365 	7.0 	273.0 	9 	5 	68 	35.1 	75T 	14 	4 	6 	86.0
6 	Carson Wentz 	PHI 	QB 	110 	177 	62.1 	35.4 	1,362 	7.7 	272.4 	10 	3 	66 	37.3 	72T 	14 	4 	13 	97.7
7 	Jared Goff 	LA 	QB 	100 	164 	61.0 	32.8 	1,360 	8.3 	272.0 	7 	3 	62 	37.8 	69 	24 	3 	6 	94.1
8 	Eli Manning 	NYG 	QB 	137 	202 	67.8 	40.4 	1,338 	6.6 	267.6 	8 	5 	64 	31.7 	77T 	9 	3 	13 	89.1
9 	Ben Roethlisberger 	PIT 	QB 	120 	195 	61.5 	39.0 	1,269 	6.5 	253.8 	6 	7 	62 	31.8 	51 	13 	3 	9 	75.8
10 	Cam Newton 	CAR 	QB 	99 	145 	68.3 	29.0 	1,237 	8.5 	247.4 	8 	5 	57 	39.3 	64 	17 	4 	15 	98.5
11 	Russell Wilson 	SEA 	QB 	111 	178 	62.4 	35.6 	1,222 	6.9 	244.4 	8 	3 	60 	33.7 	46 	15 	2 	13 	90.6
12 	Andy Dalton 	CIN 	QB 	104 	159 	65.4 	31.8 	1,220 	7.7 	244.0 	7 	6 	55 	34.6 	77T 	14 	4 	15 	87.5
13 	Brian Hoyer 	SF 	QB 	115 	194 	59.3 	38.8 	1,211 	6.2 	242.2 	4 	4 	61 	31.4 	59 	12 	3 	15 	75.8
14 	Jameis Winston 	TB 	QB 	94 	154 	61.0 	38.5 	1,198 	7.8 	299.5 	7 	3 	63 	40.9 	58T 	12 	2 	7 	92.4
15 	Dak Prescott 	DAL 	QB 	112 	179 	62.6 	35.8 	1,192 	6.7 	238.4 	11 	4 	58 	32.4 	53 	13 	2 	7 	93.1
16 	Drew Brees 	NO 	QB 	105 	152 	69.1 	38.0 	1,135 	7.5 	283.8 	8 	0 	57 	37.5 	52 	16 	3 	4 	108.3
17 	Matthew Stafford 	DET 	QB 	111 	173 	64.2 	34.6 	1,116 	6.5 	223.2 	9 	1 	62 	35.8 	45T 	11 	1 	18 	97.4
18 	Matt Ryan 	ATL 	QB 	88 	135 	65.2 	33.8 	1,109 	8.2 	277.2 	5 	5 	52 	38.5 	88T 	12 	3 	8 	87.5
19 	Deshaun Watson 	HOU 	QB 	90 	145 	62.1 	29.0 	1,072 	7.4 	214.4 	12 	4 	57 	39.3 	48T 	15 	2 	13 	100.7
20 	Josh McCown 	NYJ 	QB 	105 	147 	71.4 	29.4 	1,020 	6.9 	204.0 	5 	4 	49 	33.3 	69T 	12 	2 	15 	90.5
21 	Kirk Cousins 	WAS 	QB 	80 	121 	66.1 	30.2 	1,004 	8.3 	251.0 	7 	1 	48 	39.7 	74 	15 	4 	7 	107.6
22 	Jacoby Brissett 	IND 	QB 	77 	127 	60.6 	25.4 	997 	7.9 	199.4 	2 	3 	41 	32.3 	63 	13 	4 	14 	80.7
23 	Tyrod Taylor 	BUF 	QB 	85 	136 	62.5 	27.2 	910 	6.7 	182.0 	6 	2 	48 	35.3 	47 	12 	2 	18 	90.6
24 	Trevor Siemian 	DEN 	QB 	79 	126 	62.7 	31.5 	888 	7.0 	222.0 	7 	4 	46 	36.5 	44 	14 	1 	13 	89.0
25 	DeShone Kizer 	CLE 	QB 	81 	159 	50.9 	31.8 	851 	5.4 	170.2 	3 	9 	41 	25.8 	38 	15 	0 	12 	49.5
26 	Mike Glennon 	CHI 	QB 	93 	140 	66.4 	35.0 	833 	6.0 	208.2 	4 	5 	42 	30.0 	29 	4 	0 	8 	76.9
27 	Blake Bortles 	JAX 	QB 	74 	135 	54.8 	27.0 	827 	6.1 	165.4 	7 	4 	47 	34.8 	35 	7 	0 	5 	78.2
28 	Joe Flacco 	BAL 	QB 	92 	144 	63.9 	28.8 	823 	5.7 	164.6 	4 	6 	44 	30.6 	54 	6 	3 	9 	71.0
29 	Marcus Mariota 	TEN 	QB 	66 	110 	60.0 	27.5 	792 	7.2 	198.0 	3 	3 	39 	35.5 	55T 	11 	2 	2 	79.8
30 	Case Keenum 	MIN 	QB 	61 	100 	61.0 	33.3 	755 	7.6 	251.7 	3 	0 	33 	33.0 	59T 	11 	3 	4 	94.4
31 	Derek Carr 	OAK 	QB 	74 	109 	67.9 	27.2 	753 	6.9 	188.2 	7 	2 	37 	33.9 	64T 	10 	1 	8 	101.2
32 	Jay Cutler 	MIA 	QB 	82 	131 	62.6 	32.8 	706 	5.4 	176.5 	3 	3 	39 	29.8 	31 	6 	0 	10 	74.8
33 	Kevin Hogan 	CLE 	QB 	26 	38 	68.4 	12.7 	377 	9.9 	125.7 	3 	2 	14 	36.8 	49 	7 	2 	2 	104.8
34 	Sam Bradford 	MIN 	QB 	27 	32 	84.4 	32.0 	346 	10.8 	346.0 	3 	0 	14 	43.8 	44 	8 	1 	1 	143.0
35 	EJ Manuel 	OAK 	QB 	24 	43 	55.8 	21.5 	265 	6.2 	132.5 	1 	1 	13 	30.2 	41T 	4 	1 	4 	72.3
36 	Matt Cassel 	TEN 	QB 	25 	42 	59.5 	21.0 	162 	3.9 	81.0 	1 	2 	10 	23.8 	17 	0 	0 	8 	55.9
37 	Scott Tolzien 	IND 	QB 	9 	18 	50.0 	18.0 	128 	7.1 	128.0 	0 	2 	5 	27.8 	32 	4 	0 	4 	33.8
38 	Tom Savage 	HOU 	QB 	7 	13 	53.8 	6.5 	62 	4.8 	31.0 	0 	0 	5 	38.5 	15 	0 	0 	7 	66.8
39 	Ryan Mallett 	BAL 	QB 	6 	9 	66.7 	9.0 	36 	4.0 	36.0 	1 	0 	3 	33.3 	8 	0 	0 	0 	111.3
40 	Lac Edwards 	NYJ 	P 	1 	1 	100.0 	0.2 	31 	31.0 	6.2 	0 	0 	1 	100.0 	31 	1 	0 	0 	118.8
41 	Johnny Hekker 	LA 	P 	1 	1 	100.0 	0.2 	28 	28.0 	5.6 	0 	0 	1 	100.0 	28 	1 	0 	0 	118.8
42 	Derek Anderson 	CAR 	QB 	2 	7 	28.6 	7.0 	17 	2.4 	17.0 	0 	0 	1 	14.3 	9 	0 	0 	0 	39.6
43 	Sean Mannion 	LA 	QB 	1 	1 	100.0 	1.0 	12 	12.0 	12.0 	0 	0 	1 	100.0 	12 	0 	0 	0 	116.7
44 	Ryan Fitzpatrick 	TB 	QB 	0 	1 	0.0 	1.0 	0 	0.0 	0.0 	0 	0 	0 	0.0 	-- 	0 	0 	0 	39.6
44 	MarQueis Gray 	MIA 	TE 	0 	1 	0.0 	0.2 	0 	0.0 	0.0 	0 	0 	0 	0.0 	-- 	0 	0 	0 	39.6
44 	Matt Haack 	MIA 	P 	0 	1 	0.0 	0.2 	0 	0.0 	0.0 	0 	1 	0 	0.0 	-- 	0 	0 	0 	0.0
44 	Chad Henne 	JAX 	QB 	0 	2 	0.0 	2.0 	0 	0.0 	0.0 	0 	0 	0 	0.0 	-- 	0 	0 	0 	39.6
44 	Brett Hundley 	GB 	QB 	1 	1 	100.0 	1.0 	0 	0.0 	0.0 	0 	0 	0 	0.0 	0 	0 	0 	0 	79.2
44 	Jarvis Landry 	MIA 	WR 	0 	1 	0.0 	0.2 	0 	0.0 	0.0 	0 	0 	0 	0.0 	-- 	0 	0 	0 	39.6
44 	Tanner McEvoy 	SEA 	WR 	0 	1 	0.0 	0.2 	0 	0.0 	0.0 	0 	1 	0 	0.0 	-- 	0 	0 	0 	0.0
44 	Ryan Quigley 	MIN 	P 	0 	1 	0.0 	0.2 	0 	0.0 	0.0 	0 	0 	0 	0.0 	-- 	0 	0 	0 	39.6
